conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1861386691443073419;Tue Nov 26 12:29:04 +0000 2024;0;Pegawai Komdigi Minta Pelicin Rp 24 Juta Per Situs Judol yang Dilindungi via @arrahmah https://t.co/MN9H7BgNkv;1861386691443073419;;;in;Jakarta - Indonesia;0;0;1;https://x.com/arrahmah/status/1861386691443073419;43872781;arrahmah
1861001566733713593;Tue Nov 26 12:16:37 +0000 2024;0;@NOTASLIMBOY Apapun yang ada di pikiran kalian sekarang gue aminin;1861383556376957319;;NOTASLIMBOY;in;;0;0;0;https://x.com/komdigi_id/status/1861383556376957319;2328150236;komdigi_id
1861380247293497769;Tue Nov 26 12:03:28 +0000 2024;0;PDIP Tak Terima Nama Megawati Diseret Kasus Judol Alwin Jabarti Kiemas Bakal Ambil Jalur Hukum Baca Selengkapnya: https://t.co/MqcetJNQzY #judionline #komdigi #megawati #pdip;1861380247293497769;;;in;;0;0;0;https://x.com/TribunWow/status/1861380247293497769;803335130148286464;TribunWow
1861379543803822491;Tue Nov 26 12:00:47 +0000 2024;0;atau gunakan kanal pengaduan di https://t.co/Dg2BhPEs1K. - Hubungi Situs Aduan Resmi Komdigi: https://t.co/bC5rJEJLO4 dan https://t.co/nkZNYiNMFx Mari bersama-sama memerangi penipuan dan menjaga keamanan data kita! #KawalRuangDigital #MakinCakapDigital (2/2) https://t.co/rMTkCIBPo1;1861379574174797831;https://pbs.twimg.com/media/GdTy0G_aoAAP9n3.jpg;pajaknunukan;in;;0;0;0;https://x.com/pajaknunukan/status/1861379574174797831;1082177728353169408;pajaknunukan
1861150661867643325;Tue Nov 26 11:42:04 +0000 2024;0;@JeblukAkun The idea of rumah mewah pejabat kok jelek2 bgt ya;1861374861429612941;;JeblukAkun;in;;0;0;0;https://x.com/komdigi_id/status/1861374861429612941;2328150236;komdigi_id
1861371432573510062;Tue Nov 26 11:28:26 +0000 2024;1;Alwin Jabarti Kiemas alias AJ ditetapkan sebagai tersangka kasus dugaan penyalahgunaan wewenang pemblokiran situs judi online melibatkan pegawai Kementerian Komunikasi dan Digital (Komdigi). #SeputariNews #SeputariNewsSiang #Komdigi #judionline https://t.co/mLqcMNbYrh;1861371432573510062;https://pbs.twimg.com/media/GdTrck7b0AAZaGE.jpg;;in;iNews Tower Jakarta;0;0;0;https://x.com/SeputariNews/status/1861371432573510062;375995332;SeputariNews
1861364286729167336;Tue Nov 26 11:00:03 +0000 2024;0;Polda Metro Jaya mengungkap keterlibatan sejumlah tersangka dalam kasus judi online yang melibatkan beberapa pegawai Kementerian Komunikasi dan Digital (Komdigi). https://t.co/ns6OyEQkD6 https://t.co/6fbyTMda5s;1861364286729167336;https://pbs.twimg.com/media/GdSZDdVbUAA9Dt7.jpg;;in;Indonesia;0;0;0;https://x.com/CNNIDdaily/status/1861364286729167336;3306771829;CNNIDdaily
1861363855269732617;Tue Nov 26 10:58:20 +0000 2024;1;Polisi Agendakan Panggil Mantan Menkominfo Budi Arie Usai Pilkada Terkait Kasus Judi Online di Komdigi - Riaunews https://t.co/QIFzQ8WiYs;1861363855269732617;;;in;Pekanbaru;0;0;0;https://x.com/RiauNewsOnline/status/1861363855269732617;1780913315121971200;RiauNewsOnline
1861287821157499242;Tue Nov 26 10:56:25 +0000 2024;0;@PartaiSocmed @ItsMe_RBH @sigitwid Jelas banget ya Tim tugas dari AJ bertugas MEMFILTER &ampMEMVERIFIKASI AKUN JUDOL agar tidak DIBLOKIR oleh Komdigi https://t.co/0IDU9WH7R0;1861363375533629716;https://pbs.twimg.com/ext_tw_video_thumb/1861363332139339776/pu/img/pk8sZW0yF10JD3vJ.jpg;PartaiSocmed;in;;0;0;0;https://x.com/OxLaMasia196588/status/1861363375533629716;1839792898520547329;OxLaMasia196588
1860865417755099462;Tue Nov 26 10:49:39 +0000 2024;0;@geloraco Berantas judol tangkap Budi Ari juga dia pasti terlibat judol komdigi sudah dapat brp M Budi Ari atau sudah M M an dong makanya makin makmur ya Budi;1861361670423224634;;geloraco;in;West Jakarta ;0;0;0;https://x.com/kta_dan60917/status/1861361670423224634;1736526556355530752;kta_dan60917
1861359874795544589;Tue Nov 26 10:42:31 +0000 2024;0;BISMILLAH KOMISARIS KOMDIGI BANDUNG;1861359874795544589;;;in;;0;1;0;https://x.com/ElWuireng/status/1861359874795544589;1099655530086248448;ElWuireng
1861359237781430532;Tue Nov 26 10:39:59 +0000 2024;0;Kapolda Metro Jaya Buka Peluang Tambah Tersangka Baru Kasus Judi Online Komdigi https://t.co/tJDTliWzuM #poldametrojaya #judol #komdigi #judionline #polisi;1861359237781430532;;;in;;0;0;0;https://x.com/sinpotv/status/1861359237781430532;1012174601055449088;sinpotv
1861358153490931900;Tue Nov 26 10:38:14 +0000 2024;6;@Freed0mland5151 Zaman Gus Dur Departemen Penerangan dibubarkan ya? Malah ada Kemkominfo lah komdigi lah. Tugasnya melindungi Judi online. Kemkominfo jadi sarang bandar judi online #TumbangkanRidwanKamil #TumbangkanRidwanKamil;1861358799472459880;;Freed0mland5151;in;;0;0;6;https://x.com/IKNK0t4M4t1_/status/1861358799472459880;1847674740041039872;IKNK0t4M4t1_
1861358153490931900;Tue Nov 26 10:35:40 +0000 2024;14;Si Budie Arie bentar lagi masuk kandang ide ibi buyar karena gak masuk akal sebaiknya syber war lawan judol ditangani TNI-Polri jangan Komdigi lagi. #TumbangkanRidwanKamil #TumbangkanRidwanKamil;1861358153490931900;;;in;;0;1;12;https://x.com/Freed0mland5151/status/1861358153490931900;1630573716169170944;Freed0mland5151
1861180954540429660;Tue Nov 26 10:25:53 +0000 2024;1;@romoatheist @KPK_RI @KejaksaanRI @DivHumas_Polri @proclaro_lover @BANGSAygSUJUD @snjayajonggrang @mpoklela7 @adri_zizie @gustavssondhela @dika_maxelyou @FDonghun @99propaganda @bentangnegeri minimal tangkap dulu mantan komdigi Budi arie baru bisa percaya.. bisa²nya malah diangkat Jandi menteri lagi;1861355688871764247;;romoatheist;in;;0;0;0;https://x.com/ceuceuceu_/status/1861355688871764247;1227830613605924864;ceuceuceu_
1861355263737176543;Tue Nov 26 10:24:11 +0000 2024;0;- Hubungi Saluran Resmi DJP: Laporkan melalui Kring Pajak 1500200 atau gunakan kanal pengaduan di https://t.co/7LKszSfsRt. - Hubungi Situs Aduan Resmi Komdigi: https://t.co/JB79WWl41Y dan https://t.co/6PylO6SEGv https://t.co/Nd8kWjo7Mo;1861355263737176543;https://pbs.twimg.com/media/GdTcquwaoAArBn0.jpg;;in;padang sidempuan;0;1;0;https://x.com/pajakpsidempuan/status/1861355263737176543;1198767792318664705;pajakpsidempuan
1861354447903039905;Tue Nov 26 10:20:57 +0000 2024;0;Liat berita ponakan Megawati judol jadi ketampar fakta bobroknya institusi pemerintahan kita. Bahkan Alwin Kiemas yang seorang pegawai Komdigi sekaligus kerabat mantan presiden juga salah satu anggota mafia judol. huftttt busukk;1861354447903039905;;;in;;0;0;0;https://x.com/rianashins/status/1861354447903039905;234771510;rianashins
1861353702818488793;Tue Nov 26 10:17:59 +0000 2024;0;PDIP menegaskan salah satu tersangka kasus judi online di Kementerian Komdigi Alwin Jabarti Kiemas bukanlah anggota keluarga Ketum PDIP Megawati Sukarnoputri. https://t.co/pNzZ3FAqUA https://t.co/pIMnfSxTvl;1861353702818488793;https://pbs.twimg.com/media/GdTbUr9aoAEz1fQ.jpg;;in;;0;0;0;https://x.com/tinusflip/status/1861353702818488793;704238913158782977;tinusflip
1861347684478787674;Tue Nov 26 09:54:04 +0000 2024;0;Nembakin pegawai Komdigi yang bekingin judol gitu?;1861347684478787674;;;in;;0;0;0;https://x.com/fathanmsatria/status/1861347684478787674;1389342720;fathanmsatria
1861346659449311447;Tue Nov 26 09:50:00 +0000 2024;5;Polda Metro Jaya mulai usut dugaan korupsi dalam kasus mafia akses judol Komdigi. Pukat FH-UGM dorong pengusutan termasuk penelusuran aliran dana. https://t.co/sFrHQ9INLL;1861346659449311447;;;in;;0;0;2;https://x.com/detikcom/status/1861346659449311447;69183155;detikcom
1861344558032003349;Tue Nov 26 09:44:33 +0000 2024;0;Perlu ada titik tengah buat hal ini harusnya pemerintah dah aware potential issue yg bakal terjadi. Mungkin bidang ekonomi kreatif dan komdigi yg bersinggungan lgsung Cc. @Kemenparekraf @kemkominfo;1861345288759230901;;rijalmm;in;indonesia;0;0;0;https://x.com/rijalmm/status/1861345288759230901;538850127;rijalmm
1861342768603509225;Tue Nov 26 09:34:32 +0000 2024;1;Polisi Ungkap Peran Alwin Jabarti Kiemas Tersangka Kasus Judol Komdigi @kemkominfo https://t.co/tL1jhKdoro #judionline #alwinjabartikiemas #judol #polisi #poldametrojaya https://t.co/k1eK1UoKFJ;1861342768603509225;https://pbs.twimg.com/media/GdTQ9x_aoAIHaJy.jpg;;in;;0;0;0;https://x.com/sinpotv/status/1861342768603509225;1012174601055449088;sinpotv
1861341813271077298;Tue Nov 26 09:30:48 +0000 2024;0;- Hubungi Saluran Resmi DJP: Laporkan melalui Kring Pajak 1500200 atau gunakan kanal pengaduan di https://t.co/3PXtZevaaA. - Hubungi Situs Aduan Resmi Komdigi: https://t.co/cBfpAYsl1m dan https://t.co/PF15DBO4TX Mari bersama memerangi penipuan dan menjaga keamanan data kita! https://t.co/NHO4Ky1Mu0;1861341826852233543;https://pbs.twimg.com/media/GdTQhW_aoAMMEOo.jpg;pajaksumut1;in;Jalan Sukamulia No. 17-A;0;0;0;https://x.com/pajaksumut1/status/1861341826852233543;1731673105;pajaksumut1
1861341443325075472;Tue Nov 26 09:29:16 +0000 2024;0;Kasus Judol di Komdigi Harus Diusut Tanpa Pandang Bulu https://t.co/u0CAxQL8K6;1861341443325075472;;;in;DKI Jakarta;0;0;0;https://x.com/obsessionews/status/1861341443325075472;2653254637;obsessionews
